"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-4-28","84.69","84.18","85.08","83.87","18.11M","0.26%"
"2023-4-27","84.47","83.07","84.64","82.64","20.93M","1.99%"
"2023-4-26","82.82","85.04","85.22","82.76","24.98M","-0.12%"
"2023-4-25","82.92","85.32","85.70","82.21","34.25M","-4.57%"
"2023-4-24","86.89","88.40","88.48","86.04","22.71M","-2.51%"
"2023-4-21","89.13","89.96","90.19","88.30","23.10M","-1.77%"
"2023-4-20","90.74","93.35","93.79","90.05","23.34M","-2.94%"
"2023-4-19","93.49","94.60","94.82","92.95","16.78M","-2.09%"
"2023-4-18","95.49","99.02","99.17","95.18","18.78M","-0.96%"
"2023-4-17","96.42","96.74","97.23","95.49","15.71M","1.98%"
"2023-4-14","94.55","95.63","96.12","93.84","14.10M","-1.68%"
"2023-4-13","96.17","95.88","97.19","95.10","23.22M","2.48%"
"2023-4-12","93.84","97.82","98.89","93.58","33.81M","-5.93%"
"2023-4-11","99.76","102.46","102.54","99.20","18.10M","-1.75%"
"2023-4-10","101.54","100.62","102.83","100.59","16.26M","-1.17%"
"2023-4-6","102.74","98.53","103.24","98.27","26.85M","4.25%"
"2023-4-5","98.55","99.24","100.45","97.66","19.57M","-2.15%"
"2023-4-4","100.72","98.94","101.47","97.26","26.73M","2.37%"
"2023-4-3","98.39","100.89","101.75","97.61","26.21M","-3.71%"
