"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-4-28","120.61","118.00","121.26","117.40","1.85M","1.81%"
"2023-4-27","118.46","117.11","118.94","116.37","1.96M","1.19%"
"2023-4-26","117.07","120.45","120.50","117.02","2.34M","0.11%"
"2023-4-25","116.94","119.63","120.20","116.52","3.65M","-4.63%"
"2023-4-24","122.62","123.60","123.68","122.10","1.99M","-1.87%"
"2023-4-21","124.96","125.72","126.83","124.36","1.79M","-1.95%"
"2023-4-20","127.44","128.00","129.64","126.26","2.82M","-0.55%"
"2023-4-19","128.15","128.08","129.19","127.58","1.73M","-2.31%"
"2023-4-18","131.18","131.95","132.58","130.20","1.98M","-0.27%"
"2023-4-17","131.54","131.86","132.07","130.03","2.57M","2.17%"
"2023-4-14","128.75","131.46","131.46","127.75","3.36M","-3.00%"
"2023-4-13","132.73","136.58","136.64","132.45","3.41M","-2.69%"
"2023-4-12","136.40","136.14","138.18","135.95","3.22M","-0.21%"
"2023-4-11","136.69","139.89","140.18","136.32","2.50M","-1.66%"
"2023-4-10","139.00","140.44","140.63","137.86","3.03M","-4.13%"
"2023-4-6","144.99","144.64","146.27","144.03","1.55M","0.31%"
"2023-4-5","144.54","148.14","148.14","142.65","2.19M","-2.71%"
"2023-4-4","148.57","149.59","151.03","146.74","2.23M","-0.42%"
"2023-4-3","149.19","150.00","151.09","148.53","1.79M","-1.15%"
