"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-4-28","35.72","34.68","35.86","34.61","8.65M","2.79%"
"2023-4-27","34.75","34.33","34.82","34.03","7.53M","1.52%"
"2023-4-26","34.23","34.96","35.15","34.13","8.54M","1.57%"
"2023-4-25","33.70","33.86","34.26","33.53","11.82M","-2.83%"
"2023-4-24","34.68","35.29","35.34","34.16","15.12M","-2.67%"
"2023-4-21","35.63","35.40","35.74","35.22","10.12M","-1.55%"
"2023-4-20","36.19","36.46","36.76","35.97","12.62M","-2.45%"
"2023-4-19","37.10","36.82","37.14","36.66","7.56M","-1.67%"
"2023-4-18","37.73","38.30","38.42","37.53","8.52M","-0.84%"
"2023-4-17","38.05","37.86","38.17","37.55","10.14M","3.26%"
"2023-4-14","36.85","37.30","37.55","36.45","10.71M","-1.60%"
"2023-4-13","37.45","37.67","37.73","37.05","12.79M","1.35%"
"2023-4-12","36.95","39.01","39.19","36.87","22.57M","-7.65%"
"2023-4-11","40.01","40.54","40.75","39.96","8.78M","0.10%"
"2023-4-10","39.97","39.38","39.97","39.05","7.72M","-1.94%"
"2023-4-6","40.76","40.50","40.92","39.85","7.17M","0.64%"
"2023-4-5","40.50","41.14","41.21","40.09","7.47M","-3.20%"
"2023-4-4","41.84","42.13","42.44","41.42","8.55M","-1.32%"
"2023-4-3","42.40","43.27","43.56","41.96","12.79M","-3.39%"
