"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-4-28","68.15","65.40","68.81","65.40","6.02M","3.07%"
"2023-4-27","66.12","66.10","66.68","64.58","5.31M","1.49%"
"2023-4-26","65.15","66.29","66.84","64.62","6.76M","0.88%"
"2023-4-25","64.58","64.45","65.23","63.58","8.93M","-3.25%"
"2023-4-24","66.75","68.75","68.75","65.33","8.83M","-3.58%"
"2023-4-21","69.23","68.61","69.23","67.86","6.56M","-0.66%"
"2023-4-20","69.69","69.74","70.20","68.89","7.40M","-0.57%"
"2023-4-19","70.09","68.60","70.17","68.50","3.77M","-0.24%"
"2023-4-18","70.26","69.76","71.98","69.75","5.76M","1.90%"
"2023-4-17","68.95","69.34","69.52","68.08","6.56M","1.88%"
"2023-4-14","67.68","68.50","68.85","67.45","5.13M","-1.24%"
"2023-4-13","68.53","68.03","69.53","67.83","7.08M","2.25%"
"2023-4-12","67.02","69.16","69.69","66.74","14.86M","-5.22%"
"2023-4-11","70.71","72.05","72.44","70.62","5.68M","-0.84%"
"2023-4-10","71.31","71.00","72.00","70.18","4.82M","-1.00%"
"2023-4-6","72.03","72.50","72.60","71.16","5.12M","-0.40%"
"2023-4-5","72.32","73.14","73.14","71.62","5.24M","-1.20%"
"2023-4-4","73.20","74.90","74.90","72.79","5.00M","-2.19%"
"2023-4-3","74.84","74.07","74.89","72.20","7.27M","-1.40%"
